country_id,league_id,season,stage,date,match_id,home_team_id,away_team_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA,result
1,1,2012/2013,1,7/28/12 0:00,1223983,8342,8475,3,1,26594.0,28133.0,42594.0,31160.0,172147.0,38366.0,31294.0,113868.0,277771.0,38440.0,14557.0,242300.0,37943.0,180364.0,26606.0,6798.0,131394.0,27168.0,149279.0,184100.0,127191.0,36843.0,1.29,5.25,10.0,1.25,5.5,10.0,1.25,4.5,9.0,1.25,5.0,10.0,1.29,5.74,12.41,1.25,5.0,11.0,1.25,5.5,11.0,1.25,5.5,12.0,1.25,5.5,10.0,1.25,5.5,9.0,H
1,1,2012/2013,11,10/19/12 0:00,1224063,8635,8475,2,0,38391.0,38253.0,148302.0,178758.0,38388.0,239352.0,38393.0,12692.0,282012.0,37262.0,37069.0,242300.0,200633.0,37943.0,149279.0,26606.0,26916.0,27168.0,149345.0,127191.0,21834.0,174220.0,1.22,6.0,13.0,1.22,5.5,10.0,1.25,4.5,9.0,1.22,5.5,10.0,1.24,6.71,12.96,1.2,6.0,11.0,1.25,5.5,11.0,1.22,6.5,13.0,1.22,5.5,10.0,1.25,5.5,9.0,H
1,1,2012/2013,16,11/18/12 0:00,1224103,8635,8571,1,0,38391.0,38253.0,148302.0,178758.0,40536.0,38393.0,69653.0,239352.0,282012.0,37262.0,38369.0,206592.0,26109.0,179783.0,45413.0,37861.0,95614.0,111194.0,95615.0,208929.0,39625.0,38231.0,1.29,5.0,11.0,1.3,4.5,9.25,1.33,4.5,8.0,1.29,5.0,9.0,1.33,5.65,10.12,1.3,4.8,9.0,1.3,5.0,9.5,1.3,5.5,11.0,1.3,4.5,9.25,1.29,4.75,9.0,H
1,1,2012/2013,17,11/25/12 0:00,1224111,8342,9986,1,0,26594.0,28133.0,36832.0,31160.0,37889.0,42594.0,14557.0,26771.0,38366.0,166575.0,33657.0,214340.0,244065.0,208348.0,12405.0,46458.0,208635.0,40520.0,179059.0,200607.0,26502.0,141395.0,1.36,4.75,8.5,1.33,4.5,8.0,1.3,4.4,8.5,1.33,4.5,8.0,1.37,5.35,8.8,1.33,4.5,8.5,1.33,4.8,9.0,1.36,5.25,8.5,1.33,4.5,8.0,1.33,4.5,8.5,H
1,1,2012/2013,17,11/23/12 0:00,1224112,9985,9989,3,0,20747.0,119117.0,164229.0,38441.0,33620.0,191583.0,38969.0,168744.0,195998.0,248689.0,306117.0,181069.0,192323.0,41947.0,174597.0,242260.0,181071.0,300978.0,174747.0,149258.0,178488.0,22706.0,1.36,4.75,8.0,1.4,4.1,7.0,1.4,4.0,6.5,1.36,4.33,7.5,1.43,4.9,8.1,1.36,4.2,8.0,1.36,4.5,8.0,1.4,4.8,8.5,1.4,4.1,7.0,1.36,4.5,7.5,H
1,1,2012/2013,18,12/1/12 0:00,1224120,8635,9984,2,1,38391.0,38253.0,148302.0,178758.0,40536.0,239352.0,38393.0,69653.0,37262.0,282012.0,38369.0,36835.0,38789.0,27110.0,38337.0,38342.0,33662.0,188231.0,166670.0,277766.0,33074.0,157102.0,1.29,6.0,8.5,1.25,5.5,8.5,1.22,5.0,10.0,1.25,5.5,8.5,1.3,6.0,10.42,1.29,5.5,7.5,1.29,5.75,9.0,1.29,6.0,10.5,1.25,5.5,8.5,1.25,5.5,9.0,H
1,1,2012/2013,19,12/7/12 0:00,1224127,9985,9986,6,1,20747.0,119117.0,164229.0,38441.0,33620.0,45205.0,38969.0,71466.0,195998.0,248689.0,306117.0,214340.0,33605.0,12405.0,181029.0,46458.0,208635.0,200607.0,141395.0,25751.0,26502.0,26613.0,1.3,5.5,9.0,1.34,4.5,7.5,1.35,4.2,7.5,1.3,5.0,8.0,1.36,5.32,10.07,1.35,4.6,7.5,1.33,5.0,9.0,1.33,5.4,10.0,1.34,4.5,7.5,1.33,4.5,8.0,H
1,1,2012/2013,19,12/9/12 0:00,1224128,9987,9989,4,1,148325.0,92527.0,148314.0,210428.0,166675.0,130027.0,42706.0,37112.0,32863.0,38782.0,157561.0,181069.0,131532.0,41947.0,174597.0,242260.0,148294.0,149258.0,192323.0,181073.0,22706.0,300978.0,1.36,4.75,8.5,1.35,4.6,7.0,1.35,4.2,7.5,1.36,4.5,7.0,1.38,5.2,8.67,1.4,4.5,6.5,1.36,4.8,7.5,1.36,5.2,8.5,1.35,4.6,7.0,1.36,4.5,7.0,H
1,1,2012/2013,2,8/4/12 0:00,1223991,8635,9993,1,0,38391.0,149150.0,13423.0,38388.0,40536.0,38253.0,38393.0,12692.0,37262.0,38369.0,37069.0,37990.0,254455.0,149334.0,38800.0,26587.0,38784.0,36863.0,145586.0,115377.0,104386.0,148329.0,1.25,5.5,12.0,1.25,5.0,10.0,1.22,5.0,10.0,1.22,5.5,10.0,1.29,5.94,12.59,1.25,5.5,9.5,1.29,5.0,10.0,1.25,5.75,12.0,1.25,5.0,10.0,1.25,5.4,10.0,H
1,1,2012/2013,22,12/27/12 0:00,1224153,9985,9993,3,0,20747.0,164229.0,277848.0,33620.0,119117.0,191583.0,38969.0,71466.0,195998.0,248689.0,306117.0,37990.0,149334.0,38800.0,26587.0,33898.0,174363.0,243465.0,104386.0,171786.0,14487.0,166679.0,1.25,5.5,12.0,1.25,5.0,10.0,1.3,4.4,8.5,1.22,5.0,9.0,1.28,6.03,12.27,1.29,5.0,9.0,1.29,5.25,10.0,1.25,5.75,12.0,1.25,5.0,10.0,1.25,5.5,10.0,H
1,1,2012/2013,23,1/19/13 0:00,1224160,9987,9986,3,1,91929.0,92527.0,210428.0,37858.0,166675.0,72259.0,37112.0,32863.0,42153.0,42706.0,38782.0,13034.0,244065.0,33605.0,181029.0,46458.0,208635.0,26613.0,179059.0,200607.0,79247.0,25751.0,1.36,5.0,7.5,1.36,4.5,7.0,1.35,4.2,7.5,1.36,4.0,7.0,1.4,5.09,8.5,1.36,4.5,7.0,1.36,4.5,8.0,1.36,5.0,8.5,1.36,4.5,7.0,1.4,4.5,6.5,H
1,1,2012/2013,27,2/15/13 0:00,1224191,8635,9986,2,0,38391.0,38253.0,148302.0,178758.0,38388.0,69653.0,38393.0,239352.0,282012.0,52280.0,38369.0,13034.0,33605.0,244065.0,46458.0,208348.0,179059.0,26613.0,25751.0,208635.0,200607.0,79247.0,1.2,6.5,13.0,1.2,6.0,10.0,1.2,5.2,11.0,1.16,6.0,10.0,1.22,7.19,15.86,1.18,6.0,13.0,1.2,6.25,12.0,1.2,7.0,15.0,1.2,6.0,10.0,1.2,6.0,11.0,H
1,1,2012/2013,29,3/9/13 0:00,1224207,8635,8203,1,0,38391.0,38253.0,13423.0,178758.0,38388.0,239352.0,38393.0,69653.0,37262.0,282012.0,37069.0,13131.0,40679.0,67959.0,396929.0,39389.0,67952.0,67896.0,178283.0,178291.0,38956.0,39145.0,1.3,5.25,9.5,1.3,5.0,7.5,1.3,4.6,8.0,1.28,5.0,8.5,1.34,5.41,10.34,1.3,4.8,9.0,1.33,5.0,9.0,1.33,5.4,9.5,1.3,5.0,7.5,1.3,5.0,8.0,H
1,1,2012/2013,3,8/10/12 0:00,1223999,9985,8475,3,1,20747.0,119117.0,38441.0,33620.0,38795.0,71466.0,2770.0,38969.0,191583.0,306117.0,119542.0,242300.0,6798.0,37943.0,149279.0,26606.0,27168.0,182847.0,127191.0,149345.0,21834.0,72931.0,1.3,5.25,9.5,1.25,5.0,10.0,1.3,4.5,8.0,1.29,5.0,9.0,1.34,5.32,10.85,1.3,4.8,8.5,1.3,4.8,10.0,1.3,5.2,10.0,1.25,5.0,10.0,1.3,4.75,9.0,H
1,1,2012/2013,4,8/18/12 0:00,1224007,8342,9993,3,1,104378.0,36832.0,42594.0,172147.0,28133.0,31294.0,38366.0,277771.0,14557.0,37979.0,166648.0,37990.0,254455.0,149334.0,38800.0,104386.0,38784.0,171786.0,36863.0,115377.0,145586.0,148329.0,1.36,4.75,8.5,1.4,4.2,6.75,1.4,4.0,6.5,1.36,4.33,7.5,1.39,5.09,9.23,1.36,4.33,7.5,1.36,4.5,7.5,1.36,4.8,9.0,1.4,4.2,6.75,1.4,4.33,7.0,H
1,1,2012/2013,4,8/18/12 0:00,1224008,8635,9998,2,1,38391.0,149150.0,13423.0,148302.0,40536.0,38253.0,38393.0,12692.0,37262.0,38369.0,37069.0,67949.0,38906.0,26235.0,39977.0,36849.0,26224.0,38353.0,21753.0,38947.0,37128.0,17276.0,1.29,5.5,9.5,1.26,5.0,9.5,1.25,4.5,9.0,1.25,5.5,9.0,1.28,6.2,12.11,1.25,5.0,10.5,1.29,5.25,9.5,1.25,6.0,11.5,1.26,5.0,9.5,1.25,5.5,9.0,H
1,1,2012/2013,9,9/29/12 0:00,1224047,8635,9994,3,0,38391.0,38253.0,148302.0,178758.0,38388.0,239352.0,38393.0,37262.0,12692.0,37069.0,38369.0,30934.0,72545.0,94030.0,25791.0,178293.0,67898.0,38290.0,104406.0,104404.0,277821.0,212285.0,1.4,4.5,8.0,1.4,4.5,6.0,1.4,4.0,6.5,1.36,4.33,7.0,1.43,4.84,8.01,1.36,4.5,7.5,1.4,4.5,7.0,1.44,4.75,7.5,1.4,4.5,6.0,1.4,4.2,7.0,H
